卫星-目标对,开始时间,结束时间,持续时长(秒)
Satellite111-m1-1,6 Jun 2025 04:21:35.002,6 Jun 2025 04:24:43.153,188.151
Satellite111-m1-2,6 Jun 2025 04:22:49.549,6 Jun 2025 04:26:29.400,219.851
Satellite111-m1n1,6 Jun 2025 04:10:10.545,6 Jun 2025 04:23:04.738,774.193
Satellite111-m1n2,6 Jun 2025 04:10:25.910,6 Jun 2025 04:23:33.812,787.902
Satellite112-m1n1,6 Jun 2025 04:03:36.907,6 Jun 2025 04:11:56.530,499.623
Satellite112-m1n2,6 Jun 2025 04:04:03.199,6 Jun 2025 04:12:09.134,485.935
Satellite116-m1n2,6 Jun 2025 04:25:49.536,6 Jun 2025 04:27:05.176,75.64
Satellite121-m1n1,6 Jun 2025 04:02:43.249,6 Jun 2025 04:13:00.131,616.882
Satellite121-m1n2,6 Jun 2025 04:03:28.506,6 Jun 2025 04:13:40.807,612.301
Satellite122-m1-1,6 Jun 2025 04:06:25.446,6 Jun 2025 04:16:04.529,579.083
Satellite122-m1-2,6 Jun 2025 04:06:38.791,6 Jun 2025 04:16:52.822,614.031
Satellite122-m1n1,6 Jun 2025 04:02:20.024,6 Jun 2025 04:02:31.506,11.482
Satellite123-m1-1,6 Jun 2025 04:04:35.615,6 Jun 2025 04:07:35.128,179.513
Satellite123-m1-2,6 Jun 2025 04:04:55.676,6 Jun 2025 04:07:57.695,182.019
Satellite131-m1-2,6 Jun 2025 04:17:02.266,6 Jun 2025 04:22:19.388,317.122
Satellite132-m1-1,6 Jun 2025 04:09:15.029,6 Jun 2025 04:17:18.177,483.148
Satellite132-m1-2,6 Jun 2025 04:08:19.271,6 Jun 2025 04:17:26.894,547.623
Satellite141-m1-1,6 Jun 2025 04:06:17.814,6 Jun 2025 04:21:56.839,939.025
Satellite141-m1-2,6 Jun 2025 04:07:48.698,6 Jun 2025 04:23:27.571,938.873
Satellite141-m1n1,6 Jun 2025 04:22:33.742,6 Jun 2025 04:25:28.368,174.626
Satellite141-m1n2,6 Jun 2025 04:22:51.537,6 Jun 2025 04:26:10.509,198.972
Satellite142-m1n1,6 Jun 2025 04:16:10.968,6 Jun 2025 04:24:01.537,470.569
Satellite142-m1n2,6 Jun 2025 04:17:34.458,6 Jun 2025 04:23:18.708,344.25
Satellite151-m1-1,6 Jun 2025 04:04:32.544,6 Jun 2025 04:23:12.551,1120.007
Satellite151-m1-2,6 Jun 2025 04:05:51.886,6 Jun 2025 04:26:03.746,1211.86
Satellite151-m1n1,6 Jun 2025 04:14:46.308,6 Jun 2025 04:20:24.604,338.296
Satellite151-m1n1,6 Jun 2025 04:23:02.677,6 Jun 2025 04:26:02.358,179.681
Satellite151-m1n2,6 Jun 2025 04:15:05.245,6 Jun 2025 04:20:53.725,348.48
Satellite151-m1n2,6 Jun 2025 04:23:02.608,6 Jun 2025 04:27:05.368,242.76
Satellite152-m1n1,6 Jun 2025 04:04:25.663,6 Jun 2025 04:16:25.313,719.65
Satellite152-m1n2,6 Jun 2025 04:04:46.856,6 Jun 2025 04:16:41.666,714.81
Satellite156-m1-2,6 Jun 2025 04:25:52.151,6 Jun 2025 04:26:29.846,37.695
Satellite161-m1n1,6 Jun 2025 04:07:54.603,6 Jun 2025 04:19:19.580,684.977
Satellite161-m1n2,6 Jun 2025 04:08:13.419,6 Jun 2025 04:19:41.616,688.197
Satellite162-m1n1,6 Jun 2025 04:05:02.192,6 Jun 2025 04:08:47.459,225.267
Satellite162-m1n2,6 Jun 2025 04:05:23.446,6 Jun 2025 04:09:06.203,222.757
Satellite166-m1-1,6 Jun 2025 04:18:51.268,6 Jun 2025 04:22:38.328,227.06
Satellite166-m1-2,6 Jun 2025 04:19:34.957,6 Jun 2025 04:23:59.369,264.412
Satellite166-m1n1,6 Jun 2025 04:18:16.990,6 Jun 2025 04:22:17.334,240.344
Satellite166-m1n2,6 Jun 2025 04:18:41.344,6 Jun 2025 04:22:57.730,256.386
