卫星-目标对,开始时间,结束时间,持续时长(秒)
Satellite111-m10,6 Jun 2025 04:06:39.939,6 Jun 2025 04:08:14.215,94.276
Satellite111-m11,6 Jun 2025 04:01:42.078,6 Jun 2025 04:05:28.784,226.706
Satellite111-m11,6 Jun 2025 04:10:30.377,6 Jun 2025 04:15:01.407,271.03
Satellite111-m13,6 Jun 2025 04:18:59.823,6 Jun 2025 04:23:56.758,296.935
Satellite111-m13,6 Jun 2025 04:26:58.446,6 Jun 2025 04:31:20.863,262.417
Satellite111-m16,6 Jun 2025 04:23:45.561,6 Jun 2025 04:31:05.861,440.3
Satellite111-m16,6 Jun 2025 04:32:18.617,6 Jun 2025 04:33:02.624,44.007
Satellite111-m18,6 Jun 2025 04:25:11.366,6 Jun 2025 04:25:28.211,16.845
Satellite111-m22,6 Jun 2025 04:09:18.777,6 Jun 2025 04:12:19.922,181.145
Satellite111-m23,6 Jun 2025 04:19:14.821,6 Jun 2025 04:23:12.845,238.024
Satellite111-m23,6 Jun 2025 04:27:20.231,6 Jun 2025 04:30:34.522,194.291
Satellite111-m24,6 Jun 2025 04:12:08.916,6 Jun 2025 04:22:07.371,598.455
Satellite111-m25,6 Jun 2025 04:10:46.840,6 Jun 2025 04:23:03.581,736.741
Satellite111-m28,6 Jun 2025 04:16:50.955,6 Jun 2025 04:18:26.238,95.283
Satellite111-m3,6 Jun 2025 04:24:16.218,6 Jun 2025 04:26:22.316,126.098
Satellite111-m30,6 Jun 2025 04:09:14.283,6 Jun 2025 04:15:43.978,389.695
Satellite111-m33,6 Jun 2025 04:14:05.854,6 Jun 2025 04:15:36.789,90.935
Satellite111-m33,6 Jun 2025 04:19:59.726,6 Jun 2025 04:28:07.573,487.847
Satellite111-m34,6 Jun 2025 04:19:51.303,6 Jun 2025 04:27:10.802,439.499
Satellite111-m35,6 Jun 2025 04:18:57.764,6 Jun 2025 04:21:54.399,176.635
Satellite111-m36,6 Jun 2025 04:18:26.221,6 Jun 2025 04:22:26.831,240.61
Satellite111-m40,6 Jun 2025 04:11:16.107,6 Jun 2025 04:16:16.264,300.157
Satellite111-m44,6 Jun 2025 04:06:27.866,6 Jun 2025 04:16:43.126,615.26
Satellite111-m45,6 Jun 2025 04:11:00.169,6 Jun 2025 04:24:07.626,787.457
Satellite111-m46,6 Jun 2025 04:14:48.633,6 Jun 2025 04:17:04.287,135.654
Satellite111-m46,6 Jun 2025 04:24:05.349,6 Jun 2025 04:28:21.704,256.355
Satellite111-m47,6 Jun 2025 04:11:21.307,6 Jun 2025 04:21:42.759,621.452
Satellite111-m47,6 Jun 2025 04:26:40.978,6 Jun 2025 04:31:05.755,264.777
Satellite111-m48,6 Jun 2025 04:04:24.857,6 Jun 2025 04:11:13.198,408.341
Satellite111-m48,6 Jun 2025 04:13:12.041,6 Jun 2025 04:15:56.011,163.97
