卫星-目标对,开始时间,结束时间,持续时长(秒)
Satellite111-m1,6 Jun 2025 04:00:00.663,6 Jun 2025 04:21:25.822,1285.159
Satellite111-m10,6 Jun 2025 04:03:46.987,6 Jun 2025 04:13:41.385,594.398
Satellite111-m11,6 Jun 2025 04:00:21.897,6 Jun 2025 04:16:50.139,988.242
Satellite111-m13,6 Jun 2025 04:13:35.364,6 Jun 2025 04:34:26.525,1251.161
Satellite111-m14,6 Jun 2025 04:03:29.515,6 Jun 2025 04:15:11.826,702.311
Satellite111-m15,6 Jun 2025 04:10:07.155,6 Jun 2025 04:26:06.915,959.76
Satellite111-m16,6 Jun 2025 04:15:25.368,6 Jun 2025 04:35:58.394,1233.026
Satellite111-m18,6 Jun 2025 04:16:49.515,6 Jun 2025 04:27:06.058,616.543
Satellite111-m20,6 Jun 2025 04:04:09.802,6 Jun 2025 04:15:20.718,670.916
Satellite111-m22,6 Jun 2025 04:03:46.987,6 Jun 2025 04:15:24.584,697.597
Satellite111-m23,6 Jun 2025 04:14:16.555,6 Jun 2025 04:33:03.042,1126.487
Satellite111-m24,6 Jun 2025 04:07:22.120,6 Jun 2025 04:27:14.301,1192.181
Satellite111-m25,6 Jun 2025 04:06:01.182,6 Jun 2025 04:26:30.658,1229.476
Satellite111-m26,6 Jun 2025 04:19:04.543,6 Jun 2025 04:36:20.229,1035.686
Satellite111-m27,6 Jun 2025 04:15:18.581,6 Jun 2025 04:22:11.906,413.325
Satellite111-m28,6 Jun 2025 04:04:09.993,6 Jun 2025 04:24:00.994,1191.001
Satellite111-m3,6 Jun 2025 04:14:06.449,6 Jun 2025 04:35:33.059,1286.61
Satellite111-m30,6 Jun 2025 04:04:16.987,6 Jun 2025 04:24:13.388,1196.401
Satellite111-m31,6 Jun 2025 04:17:13.978,6 Jun 2025 04:27:39.241,625.263
Satellite111-m33,6 Jun 2025 04:07:32.669,6 Jun 2025 04:29:40.034,1327.365
Satellite111-m34,6 Jun 2025 04:13:58.419,6 Jun 2025 04:31:30.296,1051.877
Satellite111-m35,6 Jun 2025 04:15:12.096,6 Jun 2025 04:30:32.509,920.413
Satellite111-m36,6 Jun 2025 04:12:03.625,6 Jun 2025 04:26:42.009,878.384
Satellite111-m38,6 Jun 2025 04:08:44.133,6 Jun 2025 04:16:16.991,452.858
Satellite111-m39,6 Jun 2025 04:15:25.061,6 Jun 2025 04:20:07.908,282.847
Satellite111-m40,6 Jun 2025 04:06:16.852,6 Jun 2025 04:22:45.657,988.805
Satellite111-m42,6 Jun 2025 04:12:46.729,6 Jun 2025 04:19:13.922,387.193
Satellite111-m43,6 Jun 2025 04:16:50.919,6 Jun 2025 04:32:20.858,929.939
