卫星-目标对,开始时间,结束时间,持续时长(秒)
Satellite111-m11n1,6 Jun 2025 04:07:37.318,6 Jun 2025 04:22:24.361,887.043
Satellite111-m11n2,6 Jun 2025 04:07:40.812,6 Jun 2025 04:22:42.946,902.134
Satellite111-m11n3,6 Jun 2025 04:07:49.097,6 Jun 2025 04:23:33.755,944.658
Satellite111-m13n1,6 Jun 2025 04:12:01.447,6 Jun 2025 04:24:13.183,731.736
Satellite111-m13n2,6 Jun 2025 04:12:17.322,6 Jun 2025 04:24:48.438,751.116
Satellite111-m13n3,6 Jun 2025 04:12:41.992,6 Jun 2025 04:25:58.163,796.171
Satellite111-m14n1,6 Jun 2025 04:04:04.528,6 Jun 2025 04:17:19.618,795.09
Satellite111-m14n2,6 Jun 2025 04:05:48.935,6 Jun 2025 04:17:11.694,682.759
Satellite111-m14n3,6 Jun 2025 04:07:38.467,6 Jun 2025 04:18:57.955,679.488
Satellite111-m14n4,6 Jun 2025 04:11:24.214,6 Jun 2025 04:18:12.796,408.582
Satellite111-m15n1,6 Jun 2025 04:17:54.051,6 Jun 2025 04:19:30.273,96.222
Satellite111-m15n1,6 Jun 2025 04:22:42.773,6 Jun 2025 04:29:55.744,432.971
Satellite111-m15n2,6 Jun 2025 04:18:13.441,6 Jun 2025 04:19:46.640,93.199
Satellite111-m15n2,6 Jun 2025 04:23:08.942,6 Jun 2025 04:30:17.518,428.576
Satellite111-m15n3,6 Jun 2025 04:18:33.430,6 Jun 2025 04:19:53.537,80.107
Satellite111-m15n3,6 Jun 2025 04:23:47.149,6 Jun 2025 04:30:41.696,414.547
Satellite111-m15n4,6 Jun 2025 04:19:05.242,6 Jun 2025 04:19:52.674,47.432
Satellite111-m15n4,6 Jun 2025 04:25:05.168,6 Jun 2025 04:25:29.622,24.454
Satellite111-m15n4,6 Jun 2025 04:29:01.953,6 Jun 2025 04:31:22.350,140.397
Satellite111-m15n5,6 Jun 2025 04:19:13.400,6 Jun 2025 04:20:16.541,63.141
Satellite111-m15n5,6 Jun 2025 04:24:53.665,6 Jun 2025 04:26:01.342,67.677
Satellite111-m15n5,6 Jun 2025 04:28:52.834,6 Jun 2025 04:31:28.356,155.522
Satellite111-m18n1,6 Jun 2025 04:26:19.025,6 Jun 2025 04:29:39.611,200.586
Satellite111-m18n2,6 Jun 2025 04:26:27.944,6 Jun 2025 04:30:07.482,219.538
Satellite111-m18n3,6 Jun 2025 04:26:41.064,6 Jun 2025 04:30:56.408,255.344
Satellite111-m18n4,6 Jun 2025 04:26:30.228,6 Jun 2025 04:30:04.879,214.651
Satellite111-m1n1,6 Jun 2025 04:10:10.545,6 Jun 2025 04:23:04.738,774.193
Satellite111-m1n2,6 Jun 2025 04:10:25.910,6 Jun 2025 04:23:33.812,787.902
Satellite111-m1n3,6 Jun 2025 04:10:42.428,6 Jun 2025 04:24:06.746,804.318
Satellite111-m1n4,6 Jun 2025 04:10:53.418,6 Jun 2025 04:23:58.177,784.759
Satellite111-m2n2,6 Jun 2025 04:03:46.884,6 Jun 2025 04:06:49.947,183.063
Satellite111-m2n3,6 Jun 2025 04:04:33.368,6 Jun 2025 04:08:12.050,218.682
Satellite111-m2n4,6 Jun 2025 04:05:13.552,6 Jun 2025 04:11:08.823,355.271
Satellite111-m3n1,6 Jun 2025 04:11:37.044,6 Jun 2025 04:23:48.287,731.243
Satellite111-m3n2,6 Jun 2025 04:11:50.604,6 Jun 2025 04:23:55.521,724.917
Satellite111-m3n3,6 Jun 2025 04:12:17.748,6 Jun 2025 04:24:44.026,746.278
Satellite111-m3n4,6 Jun 2025 04:12:32.003,6 Jun 2025 04:18:35.075,363.072
Satellite111-m3n4,6 Jun 2025 04:19:15.950,6 Jun 2025 04:24:53.737,337.787
Satellite111-m6n1,6 Jun 2025 04:19:18.120,6 Jun 2025 04:20:47.947,89.827
Satellite111-m6n1,6 Jun 2025 04:26:35.733,6 Jun 2025 04:30:28.337,232.604
Satellite111-m6n2,6 Jun 2025 04:19:50.431,6 Jun 2025 04:20:32.337,41.906
Satellite111-m6n2,6 Jun 2025 04:29:00.925,6 Jun 2025 04:31:05.216,124.291
Satellite111-m6n3,6 Jun 2025 04:20:16.213,6 Jun 2025 04:21:00.500,44.287
Satellite111-m6n3,6 Jun 2025 04:29:34.945,6 Jun 2025 04:31:30.599,115.654
Satellite111-m6n4,6 Jun 2025 04:20:37.011,6 Jun 2025 04:21:30.335,53.324
