卫星-目标对,开始时间,结束时间,持续时长(秒)
Satellite111-m1n1,6 Jun 2025 04:10:10.545,6 Jun 2025 04:23:04.738,774.193
Satellite111-m1n2,6 Jun 2025 04:10:25.910,6 Jun 2025 04:23:33.812,787.902
Satellite112-m1n1,6 Jun 2025 04:03:36.907,6 Jun 2025 04:11:56.530,499.623
Satellite112-m1n2,6 Jun 2025 04:04:03.199,6 Jun 2025 04:12:09.134,485.935
Satellite116-m1n2,6 Jun 2025 04:25:49.536,6 Jun 2025 04:27:05.176,75.64
Satellite121-m1n1,6 Jun 2025 04:02:43.249,6 Jun 2025 04:13:00.131,616.882
Satellite121-m1n2,6 Jun 2025 04:03:28.506,6 Jun 2025 04:13:40.807,612.301
Satellite122-m1n1,6 Jun 2025 04:02:20.024,6 Jun 2025 04:02:31.506,11.482
Satellite141-m1n1,6 Jun 2025 04:22:33.742,6 Jun 2025 04:25:28.368,174.626
Satellite141-m1n2,6 Jun 2025 04:22:51.537,6 Jun 2025 04:26:10.509,198.972
Satellite142-m1n1,6 Jun 2025 04:16:10.968,6 Jun 2025 04:24:01.537,470.569
Satellite142-m1n2,6 Jun 2025 04:17:34.458,6 Jun 2025 04:23:18.708,344.25
Satellite151-m1n1,6 Jun 2025 04:14:46.308,6 Jun 2025 04:20:24.604,338.296
Satellite151-m1n1,6 Jun 2025 04:23:02.677,6 Jun 2025 04:26:02.358,179.681
Satellite151-m1n2,6 Jun 2025 04:15:05.245,6 Jun 2025 04:20:53.725,348.48
Satellite151-m1n2,6 Jun 2025 04:23:02.608,6 Jun 2025 04:27:05.368,242.76
Satellite152-m1n1,6 Jun 2025 04:04:25.663,6 Jun 2025 04:16:25.313,719.65
Satellite152-m1n2,6 Jun 2025 04:04:46.856,6 Jun 2025 04:16:41.666,714.81
Satellite161-m1n1,6 Jun 2025 04:07:54.603,6 Jun 2025 04:19:19.580,684.977
Satellite161-m1n2,6 Jun 2025 04:08:13.419,6 Jun 2025 04:19:41.616,688.197
Satellite162-m1n1,6 Jun 2025 04:05:02.192,6 Jun 2025 04:08:47.459,225.267
Satellite162-m1n2,6 Jun 2025 04:05:23.446,6 Jun 2025 04:09:06.203,222.757
Satellite166-m1n1,6 Jun 2025 04:18:16.990,6 Jun 2025 04:22:17.334,240.344
Satellite166-m1n2,6 Jun 2025 04:18:41.344,6 Jun 2025 04:22:57.730,256.386
